,Unnamed: 0,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
0,0,32.0,Princeton,8544,60.0,16793.0,NJ,1,3.9,2.8343347639484984,47140,4.1,Princeton University,private,Princeton University,1,2,0.0641,5246.0,0.4262,0.077,0.1012,0.2144,0.0015,0.0017,0.0433,0.1199,0.0147,0.0,64390.0,47140.0,47140.0,13216.0,53658.0,17519.0,0.849,10027.0,346.0,1500.0
1,1,32.0,Cambridge,2138,55.0,16338.0,MA,2,4.0,2.8343347639484984,48949,3.6,Harvard University,private,Harvard University,1,1,0.0516,7532.0,0.4201,0.0728,0.1109,0.1888,0.0021,0.0009,0.0665,0.1178,0.0202,0.0779,66900.0,48949.0,48949.0,31930.0,43823.0,19741.0,0.8589,14327.0,350.0,1523.0
2,2,32.0,Chicago,60637,42.0,27767.0,IL,3,4.0,2.8343347639484984,54825,2.806829268292683,University of Chicago,private,University of Chicago,1,3,0.0873,6298.0,0.4211,0.053,0.1253,0.184,0.0013,0.0,0.0597,0.131,0.0246,0.0035,72717.0,56034.0,56034.0,28508.0,89151.0,18115.0,0.8239,25455.0,494.0,1524.0
3,3,32.0,New Haven,6520,50.0,18385.0,CT,3,3.5465020576131687,2.8343347639484984,51400,3.4,Yale University,private,Yale University,1,1,0.0693,5742.0,0.4469,0.0704,0.1261,0.1762,0.0057,0.0007,0.0625,0.1069,0.0045,0.0002,68950.0,51400.0,51400.0,17934.0,120956.0,17517.0,0.7459,18627.0,387.0,1520.0
4,4,32.0,New York,10027,48.0,21041.0,NY,5,3.5465020576131687,2.8343347639484984,57208,3.8,Columbia University,private,Columbia University in the City of New York,1,2,0.064,8147.0,0.3671,0.0751,0.132,0.1733,0.0042,0.001,0.0572,0.1689,0.0212,0.0698,71972.0,57208.0,57208.0,37294.0,89742.0,18713.0,0.4688,24231.0,526.0,1522.0
5,5,33.0,Cambridge,2139,58.0,20331.0,MA,5,3.5465020576131687,4.6,49892,4.9,Massachusetts Institute of Technology,private,Massachusetts Institute of Technology,1,1,0.0717,4489.0,0.3377,0.0628,0.1437,0.2662,0.0013,0.0,0.0686,0.1047,0.0149,0.0074,65478.0,49892.0,49892.0,32140.0,77686.0,18182.0,0.9903,20771.0,347.0,1532.0
6,6,31.0,Stanford,94305,47.0,19296.0,CA,5,3.5465020576131687,2.8343347639484984,49617,4.8,Stanford University,private,Stanford University,1,8,0.0473,7056.0,0.3569,0.0666,0.1562,0.2167,0.0089,0.0031,0.0962,0.0916,0.0038,0.0,66696.0,49617.0,49617.0,27778.0,114844.0,22924.0,0.9845,13261.0,363.0,1489.0
7,7,32.0,Philadelphia,19104,47.0,25441.0,PA,8,3.9,4.8,53534,3.6,University of Pennsylvania,private,University of Pennsylvania,1,2,0.093,10660.0,0.4369,0.0724,0.1032,0.2005,0.0012,0.0003,0.0467,0.1212,0.0176,0.0373,69340.0,53534.0,53534.0,38594.0,52065.0,17435.0,0.7316,24242.0,873.0,1506.0
8,8,31.0,Durham,27708,41.0,23374.0,NC,9,3.5465020576131687,2.8343347639484984,53744,3.7,Duke University,private,Duke University,1,5,0.0986,6552.0,0.4356,0.0998,0.0926,0.2109,0.0072,0.0011,0.0217,0.1044,0.0267,0.0024,69847.0,53500.0,53500.0,31235.0,70127.0,15844.0,0.9005,36415.0,784.0,1488.0
9,9,34.0,Pasadena,91125,51.0,23973.0,CA,10,3.5465020576131687,2.8343347639484984,49908,4.6,California Institute of Technology,private,California Institute of Technology,1,8,0.0774,961.0,0.2778,0.0135,0.1197,0.4329,0.0,0.0,0.0708,0.0853,0.0,0.0,65874.0,49908.0,49908.0,18456.0,98888.0,19600.0,0.9152,23345.0,69.0,1558.0
