,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
14,31.0,Ithaca,14853,44.0,28068.0,NY,14,3.5465020576131687,4.2,52853,4.2,Cornell University,private,Cornell University,2,2,0.1267,14815.0,0.3847,0.066,0.1285,0.1902,0.0038,0.0011,0.0463,0.1022,0.0771,0.0006,67613.0,52853.0,52853.0,28774.0,29285.0,14876.0,0.9048,31230.0,1368.0,1477.0
21,29.0,Berkeley,94720,23.0,49614.0,CA,21,3.9,4.5,42112,4.7,University of California--Berkeley,public,University of California-Berkeley,1,8,0.1711,30574.0,0.2573,0.0175,0.1547,0.3452,0.0014,0.0011,0.0578,0.1227,0.0422,0.04,35767.0,14170.0,42184.0,20277.0,20030.0,16518.0,0.6859,15430.0,1742.0,1414.0
29,29.0,New York,10012,46.0,41783.0,NY,30,3.6,4.3,50464,2.9,New York University,private,New York University,1,2,0.2766,26055.0,0.306,0.061,0.1371,0.1978,0.0014,0.0018,0.0454,0.1914,0.058,0.0338,67865.0,50464.0,50464.0,35390.0,30614.0,13719.0,0.999,40336.0,2763.0,1408.0
32,28.0,Williamsburg,23187,21.0,42153.0,VA,32,3.5465020576131687,3.3,43099,2.806829268292683,College of William and Mary,public,William & Mary,1,5,0.3592,6243.0,0.5938,0.0734,0.0939,0.0774,0.0016,0.0005,0.0461,0.0621,0.0513,0.0082,35991.0,22044.0,43670.0,20919.0,15105.0,11189.0,0.7987,19720.0,368.0,1406.0
34,30.0,Atlanta,30332,15.0,39518.0,GA,34,3.9,3.5,33014,4.6,Georgia Institute of Technology,public,Georgia Institute of Technology-Main Campus,1,5,0.234,14810.0,0.4974,0.0701,0.067,0.2007,0.0003,0.0005,0.0381,0.0874,0.0385,0.0646,27245.0,12418.0,33014.0,13590.0,12566.0,12691.0,0.8908,13291.0,560.0,1389.0
38,25.0,Santa Barbara,93106,8.0,44849.0,CA,37,4.0,2.8343347639484984,42423,3.4,University of California--Santa Barbara,public,University of California-Santa Barbara,1,8,0.3281,22181.0,0.3195,0.0226,0.2656,0.1816,0.0014,0.0011,0.0831,0.0985,0.0266,0.0183,34990.0,14451.0,42465.0,14893.0,12526.0,15189.0,0.853,15801.0,2368.0,1346.0
39,31.0,Boston,2115,34.0,38521.0,MA,40,3.5465020576131687,3.1,49497,3.1,Northeastern University,private,Northeastern University,1,1,0.2744,13666.0,0.4585,0.0359,0.0772,0.1316,0.0004,0.0,0.0418,0.1901,0.0645,0.0,65469.0,49497.0,49497.0,35516.0,18038.0,12822.0,0.7578,29748.0,1350.0,1482.0
43,25.0,La Jolla,92093,7.0,42933.0,CA,42,4.0,3.2,44197,3.7,University of California--San Diego,public,University of California-San Diego,1,8,0.3399,28577.0,0.1939,0.0154,0.1848,0.3461,0.0009,0.0026,0.0468,0.1941,0.0156,0.0244,31794.0,14018.0,42032.0,17287.0,26320.0,16038.0,0.8466,14628.0,2574.0,1343.0
44,27.0,Gainesville,32611,20.0,36825.0,FL,42,4.0,3.6,28658,3.4,University of Florida,public,University of Florida,1,5,0.4201,33655.0,0.5474,0.0621,0.2152,0.0812,0.0021,0.0062,0.0339,0.0199,0.0319,0.0822,21162.0,6381.0,28659.0,8834.0,16051.0,11746.0,0.8658,12343.0,2275.0,1356.0
46,26.0,Malibu,90263,51.0,32416.0,CA,46,3.6,3.2,51992,2.806829268292683,Pepperdine University,private,Pepperdine University,1,8,0.3985,3594.0,0.5061,0.0448,0.1372,0.1007,0.0036,0.0033,0.0604,0.1144,0.0295,0.0821,68352.0,51992.0,51992.0,31041.0,11969.0,12138.0,0.6107,33814.0,352.0,1319.0
