,Unnamed: 0,act_avg,city,zip,percent_receiving_aid,cost_after_aid,state,rankingSortRank,hs_gpa_avg,businessRepScore,tuition,engineeringRepScore,displayName,institutionalControl,institution_name,branches,region,admission_rate,ug_enrollment,percent_white,percent_black,percent_hispanic,percent_asian,percent_aian,percent_nhpi,percent_twoormore,percent_nra,percent_unknown,percent_parttime,avg_cost,instante_tuition,outstate_tuition,tuition_revenue_per,instructional_expenditure_per,avg_faculty_salary,ft_faculty_rate,avg_net_price,number_titleIV,sat_avg
4,34,30.0,Atlanta,30332,15.0,39518.0,GA,34,3.9,3.5,33014,4.6,Georgia Institute of Technology,public,Georgia Institute of Technology-Main Campus,1,5,0.234,14810.0,0.4974,0.0701,0.067,0.2007,0.0003,0.0005,0.0381,0.0874,0.0385,0.0646,27245.0,12418.0,33014.0,13590.0,12566.0,12691.0,0.8908,13291.0,560.0,1389.0
12,51,25.0,University Park,16802,14.0,41789.0,PA,52,3.6,3.7,33664,3.7,Pennsylvania State University--University Park,public,Pennsylvania State University-Main Campus,23,2,0.5031,40553.0,0.6611,0.0438,0.0658,0.0619,0.0008,0.0008,0.0324,0.1157,0.0178,0.0215,35518.0,18436.0,33664.0,27265.0,21405.0,11211.0,0.7508,30373.0,2628.0,1269.0
13,52,26.0,Champaign,61820,9.0,35977.0,IL,52,3.5465020576131687,3.8,31988,4.4,University of Illinois--Urbana-Champaign,public,University of Illinois Urbana-Champaign,1,3,0.6153,32884.0,0.451,0.0595,0.1133,0.1846,0.0005,0.0007,0.0307,0.1557,0.004,0.0205,30064.0,15074.0,31194.0,14814.0,14734.0,12166.0,0.7508,18377.0,3316.0,1376.0
14,53,27.0,Columbus,43210,9.0,37032.0,OH,54,3.5465020576131687,3.8,29659,3.5,Ohio State University--Columbus,public,Ohio State University-Main Campus,6,3,0.4806,44853.0,0.6857,0.0574,0.0412,0.0673,0.001,0.0006,0.0339,0.0802,0.0327,0.0675,25471.0,10592.0,29696.0,15068.0,18302.0,12153.0,0.6516,17699.0,2735.0,1359.0
19,62,28.0,Dallas,75275,24.0,47874.0,TX,61,3.7,3.2,52498,2.5,Southern Methodist University,private,Southern Methodist University,1,6,0.4877,6427.0,0.6462,0.0454,0.1144,0.0613,0.003,0.0009,0.0422,0.0864,0.0003,0.0299,69358.0,52498.0,52498.0,29021.0,17462.0,12582.0,0.6694,32190.0,491.0,1382.0
26,69,23.02405498281787,Piscataway,8854,13.0,40121.0,NJ,69,3.5465020576131687,3.0,30023,3.1,Rutgers University--New Brunswick,public,Rutgers University-New Brunswick,3,2,0.578,35296.0,0.3883,0.0719,0.1317,0.2665,0.0005,0.0027,0.0326,0.0891,0.0168,0.0475,29550.0,14638.0,30579.0,13487.0,17364.0,11822.0,0.5504,20379.0,3370.0,1304.0
27,70,29.0,Hoboken,7030,40.0,51810.0,NJ,69,3.8,2.5,50554,2.7,Stevens Institute of Technology,private,Stevens Institute of Technology,1,2,0.4388,3114.0,0.6718,0.0193,0.1047,0.1233,0.0013,0.0,0.0,0.0405,0.0392,0.0003,64255.0,50554.0,50554.0,25070.0,11749.0,12940.0,1.0,36620.0,506.0,1410.0
29,72,26.0,Minneapolis,55455,23.0,28170.0,MN,69,3.5465020576131687,3.8,26603,3.6,University of Minnesota--Twin Cities,public,University of Minnesota-Twin Cities,2,4,0.496,31535.0,0.677,0.0451,0.0414,0.0954,0.0027,0.001,0.0404,0.0893,0.0078,0.0705,25790.0,14417.0,26603.0,13355.0,15511.0,11759.0,0.823,17396.0,2237.0,1349.0
32,75,29.0,Golden,80401,21.0,47042.0,CO,75,3.8,2.8343347639484984,37436,3.1,Colorado School of Mines,public,Colorado School of Mines,1,7,0.5572,4751.0,0.7295,0.0118,0.0852,0.0495,0.0038,0.0006,0.0547,0.0564,0.0084,0.0415,32347.0,18386.0,37436.0,21008.0,16040.0,11405.0,0.8453,25710.0,262.0,1391.0
33,76,25.0,Amherst,1003,35.0,35445.0,MA,75,3.8,3.2,33662,2.9,University of Massachusetts--Amherst,public,University of Massachusetts-Amherst,1,1,0.5758,23010.0,0.6442,0.0438,0.0637,0.1002,0.0011,0.0006,0.0279,0.0596,0.0589,0.0664,29172.0,15411.0,33477.0,12740.0,15975.0,12386.0,0.8005,20926.0,2269.0,1288.0
34,77,26.0,Oxford,45056,10.0,42507.0,OH,78,3.8,3.2,32768,3.1,Miami University--Oxford,public,Miami University-Oxford,3,3,0.682,16816.0,0.7239,0.0319,0.0458,0.0219,0.0021,0.0007,0.0338,0.1359,0.004,0.0281,30420.0,14958.0,34211.0,18027.0,11720.0,9395.0,0.999,21288.0,1162.0,1332.0
37,81,25.0,Tallahassee,32306,27.0,34036.0,FL,81,3.5465020576131687,3.2,21673,2.806829268292683,Florida State University,public,Florida State University,1,5,0.4919,32614.0,0.6204,0.0817,0.2038,0.0234,0.0022,0.0013,0.0367,0.0155,0.015,0.1051,22426.0,5656.0,18786.0,6237.0,10014.0,10893.0,0.85,14582.0,2644.0,1304.0
